product_id,product_name,product_description,category,manufacture,product_type,amount,price
26,"ACER AN517-42-R8SQ NITRO 5","ACER NITRO 5 RYZEN 5 8GB RTX3050TI 512GB SSD 17.3 FHD 144HZ M2 COMBO BLACK KBLIGHT",NOTEBOOK,ACER,Devices,13,1034.86
27,"ACER AN515-57-74E6 NITRO 5","ACER NITRO 5 I7-11 8G RTX3060 512GB SSD 15.6 FHD 144HZ M2 COMBO BLACK KBLIGHT",NOTEBOOK,ACER,Devices,3,989.89
37,"MSI KATANA 17 B12VFK-204BG","MSI I7-12 16G RTX4060 512GB SSD 17.3 FHD 144HZ M2 PCIE BLACK BACKLIT",NOTEBOOK,MSI,Devices,26,1285.05
